Epoch,Global_Step,Loss,LR,Fourier_Gate_Avg
0,1,1.8587281703948975,8.88888888888889e-08,9.999999747378752e-05
0,11,1.9687544107437134,9.777777777777778e-07,9.999996836995706e-05
1,16,1.817099928855896,1.4222222222222223e-06,9.999993199016899e-05
1,26,1.8624273538589478,2.311111111111111e-06,9.999982285080478e-05
2,31,1.8723918199539185,2.7555555555555555e-06,9.999975009122863e-05
2,41,1.8868539333343506,3.6444444444444446e-06,9.999983641054396e-05
3,46,1.92231285572052,4.088888888888889e-06,0.00010000088514061645
3,56,1.8470327854156494,4.977777777777778e-06,0.00010003139157726599
4,61,1.7918637990951538,5.422222222222222e-06,0.00010011350869635035
4,71,1.9910296201705933,6.311111111111112e-06,0.00010110293409194459
5,76,1.9690231084823608,6.755555555555555e-06,0.0001031106456304604
5,86,1.8379379510879517,7.644444444444445e-06,0.00011885902296688238
6,91,1.746912956237793,8.08888888888889e-06,0.0001393012439207682
6,101,1.6305183172225952,8.977777777777778e-06,0.00021953825555762953
7,106,1.7497297525405884,9.422222222222222e-06,0.00028803464109924704
7,116,1.8925492763519287,1.031111111111111e-05,0.0004734700513918969
8,121,1.8427326679229736,1.0755555555555557e-05,0.0005809852393047714
8,131,1.7540961503982544,1.1644444444444446e-05,0.0008128601528534836
9,136,1.7547117471694946,1.208888888888889e-05,0.000887058172586628
9,146,1.878092885017395,1.2977777777777777e-05,0.0010238511683631011
10,151,1.7208510637283325,1.3422222222222223e-05,0.0010886276008518921
10,161,1.6240789890289307,1.4311111111111111e-05,0.0012195333150554109
11,166,1.6939293146133423,1.4755555555555556e-05,0.0012991251159374688
11,176,1.7670315504074097,1.5644444444444444e-05,0.0015144193047572944
12,181,1.735756516456604,1.608888888888889e-05,0.0016145886303010311
12,191,1.5604106187820435,1.6977777777777777e-05,0.0016378829763694243
13,196,1.6446224451065063,1.7422222222222222e-05,0.0016199880866968836
13,206,1.5932694673538208,1.8311111111111114e-05,0.0016031640512995762
14,211,1.7275341749191284,1.8755555555555558e-05,0.0016654031139544466
14,221,1.4936294555664062,1.9644444444444447e-05,0.0017951696830674666
15,226,1.4643571376800537,2.008888888888889e-05,0.0018632018684663556
15,236,1.5046981573104858,2.097777777777778e-05,0.002052134664898569
16,241,1.5275739431381226,2.1422222222222224e-05,0.0021901536172001875
16,251,1.4717729091644287,2.2311111111111113e-05,0.0023321616198782895
17,256,1.551236629486084,2.2755555555555557e-05,0.002451999081214043
17,266,1.5171805620193481,2.3644444444444446e-05,0.0025771959864703767
18,271,1.4180575609207153,2.408888888888889e-05,0.0026914514812894845
18,281,1.4610172510147095,2.497777777777778e-05,0.0028178809919733217
19,286,1.4715646505355835,2.5422222222222227e-05,0.0029314820263111455
19,296,1.3702996969223022,2.6311111111111115e-05,0.0030763241176662796
20,301,1.512318730354309,2.6755555555555556e-05,0.0031357761578295717
20,311,1.4504705667495728,2.7644444444444445e-05,0.003334288342474875
21,316,1.5049511194229126,2.8088888888888893e-05,0.0034099362515421076
